
DIMKA-œ 	Thu Dec 17 23:14:32 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:14:35 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:15:45 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:15:48 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:18:01 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:18:03 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:23:58 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004


DIMKA-œ 	Thu Dec 17 23:24:00 2015
	INET/INET_connect: gethostbyname (DIMKA-–ü–ö) failed, error code = 11004

